# Catalogue des paramètres réellement mesurés par le contrôle sanitaire.
# Récolté le 2026-08-07 sur Hub'Eau qualite_eau_potable/resultats_dis,
# à partir des derniers bulletins complets (> 250 paramètres)
# de 8 commune(s) par département, départements 17,31,28,51.
# limite_declaree = limite_qualite_parametre telle que fournie par la source :
# c'est la grille D'AUJOURD'HUI, pas un seuil daté. Voir CLAUDE.md §2.5 et §2.7.
# Reproductible : python3 src/catalogue_parametres.py --depts 17,31,28,51 --communes 8
code_parametre;libelle_parametre;libelle_norm;code_cas;unite;limite_declaree;reference_declaree;nb_mesures;nb_bulletins;departements;variantes_libelle
1675;Flurochloridone;flurochloridone;61213-25-0;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1765;Fluroxypir;fluroxypir;69377-81-7;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1503;Flutriafol;flutriafol;76674-21-0;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
7342;Fluxapyroxad;fluxapyroxad;907204-31-3;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1500;Fénuron;fenuron;101-42-8;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1673;Hexazinone;hexazinone;51235-04-2;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1954;Hydroxyterbuthylazine;hydroxyterbuthylazine;66753-07-9;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
2986;Imazamox;imazamox;114311-32-9;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1695;Imazaméthabenz;imazamethabenz;100728-84-5;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1877;Imidaclopride;imidaclopride;138261-41-3;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1208;Isoproturon;isoproturon;34123-59-6;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1672;Isoxaben;isoxaben;82558-50-7;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1406;Lenacile;lenacile;2164-08-1;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1879;Metconazol;metconazol;125116-23-6;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1797;Metsulfuron méthyl;metsulfuron methyl;74223-64-6;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1214;Mécoprop;mecoprop;93-65-2;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
2578;Mésosulfuron-méthyl;mesosulfuron-methyl;208465-21-8;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
2076;Mésotrione;mesotrione;104206-82-8;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1706;Métalaxyle;metalaxyle;57837-19-1;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1215;Métamitrone;metamitrone;41394-05-2;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1670;Métazachlore;metazachlore;67129-08-2;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1515;Métobromuron;metobromuron;3060-89-7;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1221;Métolachlore;metolachlore;51218-45-2;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1225;Métribuzine;metribuzine;21087-64-9;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
6384;N,N-Dimethylsulfamide;n,n-dimethylsulfamide;3984-14-3;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1519;Napropamide;napropamide;15299-99-7;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1882;Nicosulfuron;nicosulfuron;111991-09-4;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1669;Norflurazon;norflurazon;27314-13-2;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1666;Oxadixyl;oxadixyl;77732-09-3;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1234;Pendiméthaline;pendimethaline;40487-42-1;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1235;Pentachlorophénol;pentachlorophenol;87-86-5;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1709;Piperonil butoxide;piperonil butoxide;51-03-6;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1253;Prochloraze;prochloraze;67747-09-5;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1257;Propiconazole;propiconazole;60207-90-1;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1414;Propyzamide;propyzamide;23950-58-5;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1092;Prosulfocarbe;prosulfocarbe;52888-80-9;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1528;Pyrimicarbe;pyrimicarbe;23103-98-2;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
2087;Quinmerac;quinmerac;90717-03-6;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1263;Simazine;simazine;122-34-9;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1831;Simazine hydroxy;simazine hydroxy;2599-11-3;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
2664;Spiroxamine;spiroxamine;118134-30-8;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1266;Terbuméton;terbumeton;33693-04-8;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
2051;Terbuméton-désethyl;terbumeton-desethyl;30125-64-5;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1268;Terbuthylazin;terbuthylazin;5915-41-3;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
2045;Terbuthylazin déséthyl;terbuthylazin desethyl;30125-63-4;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
7150;Terbuthylazin déséthyl-2-hydroxy;terbuthylazin desethyl-2-hydroxy;66753-06-8;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1269;Terbutryne;terbutryne;886-50-0;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
7517;Thiencarbazone-methyl;thiencarbazone-methyl;317815-83-1;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1913;Thifensulfuron méthyl;thifensulfuron methyl;79277-27-3;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
6276;Total des pesticides analysés;total des pesticides analyses;;µg/L;<=0,5 µg/L;;32;32;17|28|31|51;
1288;Triclopyr;triclopyr;55335-06-3;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1694;Tébuconazole;tebuconazole;107534-96-3;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1907;AMPA;ampa;1066-51-9;µg/L;<=0,1 µg/L;;31;31;17|28|31|51;
1105;Aminotriazole;aminotriazole;61-82-5;µg/L;<=0,1 µg/L;;31;31;17|28|31|51;
1398;Chlore libre;chlore libre;;mg(Cl2)/L;;;31;31;17|28|31|51;
1399;Chlore total;chlore total;;mg(Cl2)/L;;;31;31;17|28|31|51;
6378;Chloridazone desphényl;chloridazone desphenyl;6339-19-1;µg/L;<=0,1 µg/L;;31;31;17|28|31|51;
6379;Chloridazone méthyl desphényl;chloridazone methyl desphenyl;17254-80-7;µg/L;<=0,1 µg/L;;31;31;17|28|31|51;
1473;Chlorothalonil;chlorothalonil;1897-45-6;µg/L;<=0,1 µg/L;;31;31;17|28|31|51;
8865;Chlorothalonil R471811;chlorothalonil r471811;;µg/L;<=0,1 µg/L;;31;31;17|28|31|51;
6895;ESA metazachlore;esa metazachlore;172960-62-2;µg/L;;;31;31;17|28|31|51;
6854;ESA metolachlore;esa metolachlore;171118-09-5;µg/L;;;31;31;17|28|31|51;
6864;Flufenacet ESA;flufenacet esa;201668-32-8;µg/L;<=0,1 µg/L;;31;31;17|28|31|51;
1526;Glufosinate;glufosinate;51276-47-2;µg/L;<=0,1 µg/L;;31;31;17|28|31|51;
1506;Glyphosate;glyphosate;1071-83-6;µg/L;<=0,1 µg/L;;31;31;17|28|31|51;
7729;Metolachlor NOA 413173;metolachlor noa 413173;1418095-19-8;µg/L;;;31;31;17|28|31|51;
1796;Métaldéhyde;metaldehyde;108-62-3;µg/L;<=0,1 µg/L;;31;31;17|28|31|51;
6855;OXA alachlore;oxa alachlore;171262-17-2;µg/L;<=0,1 µg/L;;31;31;17|28|31|51;
6894;OXA metazachlore;oxa metazachlore;1231244-60-2;µg/L;;;31;31;17|28|31|51;
6853;OXA metolachlore;oxa metolachlore;152019-73-3;µg/L;;;31;31;17|28|31|51;
2576;Pyraclostrobine;pyraclostrobine;175013-18-0;µg/L;<=0,1 µg/L;;31;31;17|28|31|51;
1301;Température de l'eau;temperature de l'eau;;°C;;<=25 °C;31;31;17|28|31|51;
6856;ESA acetochlore;esa acetochlore;187022-11-3;µg/L;;;30;30;17|28|31|51;
6800;ESA alachlore;esa alachlore;142363-53-9;µg/L;;;30;30;17|28|31|51;
1708;Piclorame;piclorame;1918-02-1;µg/L;<=0,1 µg/L;;30;30;17|28|31|51;
7717;Chlorothalonil R417888;chlorothalonil r417888;1418095-02-9;µg/L;<=0,1 µg/L;;28;28;17|28|31|51;
6489;Aspect (qualitatif);aspect (qualitatif);;SANS OBJET;;;27;27;17|28|31|51;
1340;Nitrates (en NO3);nitrates (en no3);14797-55-8;mg/L;<=50 mg/L;;27;27;17|28|31|51;
1335;Ammonium (en NH4);ammonium (en nh4);14798-03-9;mg/L;;<=0,1 mg/L;26;26;17|28|31|51;
5440;Bact. aér. revivifiables à 22°-68h;bact. aer. revivifiables a 22-68h;;n/mL;;;26;26;17|28|31|51;
5441;Bact. aér. revivifiables à 36°-44h;bact. aer. revivifiables a 36-44h;;n/mL;;;26;26;17|28|31|51;
