# Catalogue des paramètres réellement mesurés par le contrôle sanitaire.
# Récolté le 2026-08-07 sur Hub'Eau qualite_eau_potable/resultats_dis,
# à partir des derniers bulletins complets (> 250 paramètres)
# de 8 commune(s) par département, départements 17,31,28,51.
# limite_declaree = limite_qualite_parametre telle que fournie par la source :
# c'est la grille D'AUJOURD'HUI, pas un seuil daté. Voir CLAUDE.md §2.5 et §2.7.
# Reproductible : python3 src/catalogue_parametres.py --depts 17,31,28,51 --communes 8
code_parametre;libelle_parametre;libelle_norm;code_cas;unite;limite_declaree;reference_declaree;nb_mesures;nb_bulletins;departements;variantes_libelle
1122;Bromoforme;bromoforme;75-25-2;µg/L;<=100 µg/L;;23;23;17|28|31|51;
5554;Chlormequat;chlormequat;7003-89-6;µg/L;<=0,1 µg/L;;23;23;28|31|51;
1158;Chlorodibromométhane;chlorodibromomethane;124-48-1;µg/L;<=100 µg/L;;23;23;17|28|31|51;
1135;Chloroforme;chloroforme;67-66-3;µg/L;<=100 µg/L;;23;23;17|28|31|51;
1810;Clopyralid;clopyralid;1702-17-6;µg/L;<=0,1 µg/L;;23;23;17|31|51;
1167;Dichloromonobromométhane;dichloromonobromomethane;75-27-4;µg/L;<=100 µg/L;;23;23;17|28|31|51;
1743;Endosulfan total;endosulfan total;115-29-7;µg/L;<=0,1 µg/L;;23;23;17|28|31;
7499;Fluopicolide;fluopicolide;239110-15-7;µg/L;<=0,1 µg/L;;23;23;17|28|51;
7649;Fluopyram;fluopyram;658066-35-4;µg/L;<=0,1 µg/L;;23;23;17|28|51;
1816;Fosetyl;fosetyl;15845-66-6;µg/L;<=0,1 µg/L;;23;23;17|28|51;
5537;HCH alpha+beta+delta+gamma;hch alpha+beta+delta+gamma;;µg/L;<=0,1 µg/L;;23;23;17|28|31;
5603;Prothioconazole;prothioconazole;178928-70-6;µg/L;<=0,1 µg/L;;23;23;28|31|51;
1261;Pyrimiphos méthyl;pyrimiphos methyl;29232-93-7;µg/L;<=0,1 µg/L;;23;23;17|28|51;
2036;Trihalométhanes (4 substances);trihalomethanes (4 substances);;µg/L;<=100 µg/L;;23;23;17|28|31|51;
7727;CGA 369873;cga 369873;;µg/L;;;22;22;17|28|51;
6380;Diméthachlore OXA;dimethachlore oxa;1086384-49-7;µg/L;<=0,1 µg/L;;22;22;17|28|51;
2059;Dose indicative;dose indicative;;mSv/a;;<=0,1 mSv/a;22;22;17|28|31|51;
2093;Ethephon;ethephon;16672-87-0;µg/L;<=0,1 µg/L;;22;22;17|28|51;
5645;Hydrazide maleïque;hydrazide maleique;123-33-1;µg/L;<=0,1 µg/L;;22;22;17|31|51;
5901;Odeur (qualitatif);odeur (qualitatif);;SANS OBJET;;;22;22;17|28|31|51;
1328;Carbonates;carbonates;;mg(CO3)/L;;;20;20;28|31|51;
1309;Coloration;coloration;;mg(Pt)/L;;<=15 mg(Pt)/L;20;20;17|28|31|51;
1327;Hydrogénocarbonates;hydrogenocarbonates;;mg/L;;;20;20;28|31|51;
2955;Activité béta glob. résiduelle Bq/L;activite beta glob. residuelle;;Bq/L;;;18;18;17|28|31|51;
1751;Bromates;bromates;15541-45-4;µg/L;<=10 µg/L;;18;18;17|28|31|51;
1941;Bromoxynil octanoate;bromoxynil octanoate;1689-99-2;µg/L;<=0,1 µg/L;;18;18;17|28|31|51;
1687;Bénalaxyl;benalaxyl;71626-11-4;µg/L;<=0,1 µg/L;;18;18;17|28|31|51;
1130;Carbofuran;carbofuran;1563-66-2;µg/L;<=0,1 µg/L;;18;18;17|28|31|51;
2976;Carfentrazone éthyle;carfentrazone ethyle;128639-02-1;µg/L;<=0,1 µg/L;;18;18;17|28|31|51;
1464;Chlorfenvinphos;chlorfenvinphos;470-90-6;µg/L;<=0,1 µg/L;;18;18;17|28|31|51;
1083;Chlorpyriphos éthyl;chlorpyriphos ethyl;2921-88-2;µg/L;<=0,1 µg/L;;18;18;17|28|31|51;
6389;Clothianidine;clothianidine;210880-92-5;µg/L;<=0,1 µg/L;;18;18;17|28|31|51;
5900;Couleur (qualitatif);couleur (qualitatif);;SANS OBJET;;;18;18;17|28|31|51;
1146;DDE-4,4';dde-4,4';72-55-9;µg/L;<=0,1 µg/L;;18;18;17|28|31|51;
1495;Ethoprophos;ethoprophos;13194-48-4;µg/L;<=0,1 µg/L;;18;18;17|28|31|51;
1906;Fenbuconazole;fenbuconazole;114369-43-6;µg/L;<=0,1 µg/L;;18;18;17|28|31|51;
5638;Fluoxastrobine;fluoxastrobine;361377-29-9;µg/L;<=0,1 µg/L;;18;18;17|28|31|51;
1748;Heptachlore époxyde cis;heptachlore epoxyde cis;1024-57-3;µg/L;<=0,03 µg/L;;18;18;17|28|31|51;
1749;Heptachlore époxyde trans;heptachlore epoxyde trans;28044-83-9;µg/L;<=0,03 µg/L;;18;18;17|28|31|51;
1805;Hydroxycarbofuran-3;hydroxycarbofuran-3;16655-82-6;µg/L;<=0,1 µg/L;;18;18;17|28|31|51;
1205;Ioxynil;ioxynil;1689-83-4;µg/L;<=0,1 µg/L;;18;18;17|28|31|51;
2951;Iprovalicarb;iprovalicarb;140923-17-7;µg/L;<=0,1 µg/L;;18;18;17|28|31|51;
1510;Méthiocarb;methiocarb;2032-65-7;µg/L;<=0,1 µg/L;;18;18;17|28|31|51;
1952;Oxyfluorfene;oxyfluorfene;42874-03-3;µg/L;<=0,1 µg/L;;18;18;17|28|31|51;
1523;Perméthrine;permethrine;52645-53-1;µg/L;<=0,1 µg/L;;18;18;17|28|31|51;
2669;Picoxystrobine;picoxystrobine;117428-22-5;µg/L;<=0,1 µg/L;;18;18;17|28|31|51;
5902;Saveur (qualitatif);saveur (qualitatif);;SANS OBJET;;;18;18;17|28|31;
5671;Thiaclopride;thiaclopride;111988-49-9;µg/L;<=0,1 µg/L;;18;18;17|28|31|51;
1264;2,4,5-T;2,4,5-t;93-76-5;µg/L;<=0,1 µg/L;;17;17;28|31|51;
1142;2,4-DB;2,4-db;94-82-6;µg/L;<=0,1 µg/L;;17;17;17|28|51;
1213;2,4-MCPB;2,4-mcpb;94-81-5;µg/L;<=0,1 µg/L;;17;17;17|28|51;
1457;Acrylamide;acrylamide;79-06-1;µg/L;<=0.1 µg/L;;17;17;17|28|31|51;
1119;Bifenox;bifenox;42576-02-3;µg/L;<=0,1 µg/L;;17;17;17|31|51;
1474;Chlorprophame;chlorprophame;101-21-3;µg/L;<=0,1 µg/L;;17;17;17|28|51;
1681;Cyfluthrine;cyfluthrine;68359-37-5;µg/L;<=0,1 µg/L;;17;17;17|28|31|51;
1144;DDD-4,4';ddd-4,4';72-54-8;µg/L;<=0,1 µg/L;;17;17;17|31|51;
1679;Dichlobénil;dichlobenil;1194-65-6;µg/L;<=0,1 µg/L;;17;17;28|31|51;
1170;Dichlorvos;dichlorvos;62-73-7;µg/L;<=0,1 µg/L;;17;17;17|28|31;
1490;Dinitrocrésol;dinitrocresol;534-52-1;µg/L;<=0,1 µg/L;;17;17;28|31|51;
1699;Diquat;diquat;2764-72-9;µg/L;<=0,1 µg/L;;17;17;17|28|31;
1742;Endosulfan sulfate;endosulfan sulfate;1031-07-8;µg/L;<=0,1 µg/L;;17;17;28|31|51;
1494;Epichlorohydrine;epichlorohydrine;106-89-8;µg/L;<=0.1 µg/L;;17;17;17|28|31|51;
2810;Florasulam;florasulam;145701-23-1;µg/L;<=0,1 µg/L;;17;17;17|28|51;
1825;Fluazifop butyl;fluazifop butyl;69806-50-4;µg/L;<=0,1 µg/L;;17;17;17|28|31|51;
2806;Foramsulfuron;foramsulfuron;173159-57-4;µg/L;<=0,1 µg/L;;17;17;17|28|51;
2744;Fosthiazate;fosthiazate;98886-44-3;µg/L;<=0,1 µg/L;;17;17;17|28|51;
1185;Fénarimol;fenarimol;60168-88-9;µg/L;<=0,1 µg/L;;17;17;28|31|51;
1197;Heptachlore;heptachlore;76-44-8;µg/L;<=0,03 µg/L;;17;17;17|31|51;
1198;Heptachlore époxyde;heptachlore epoxyde;;µg/L;<=0,03 µg/L;;17;17;17|28|31;
1950;Kresoxim-méthyle;kresoxim-methyle;143390-89-0;µg/L;<=0,1 µg/L;;17;17;17|28|31;
5654;Metrafenone;metrafenone;220899-03-6;µg/L;<=0,1 µg/L;;17;17;17|28|51;
7057;Pinoxaden;pinoxaden;243973-20-8;µg/L;<=0,1 µg/L;;17;17;17|28|51;
1254;Prométhrine;promethrine;7287-19-6;µg/L;<=0,1 µg/L;;17;17;28|31|51;
2028;Quinoxyfen;quinoxyfen;124495-18-7;µg/L;<=0,1 µg/L;;17;17;17|31|51;
2085;Sulfosulfuron;sulfosulfuron;141776-32-1;µg/L;<=0,1 µg/L;;17;17;28|31|51;
1544;Triadiméfon;triadimefon;43121-43-3;µg/L;<=0,1 µg/L;;17;17;28|31|51;
1895;Tébufénozide;tebufenozide;112410-23-8;µg/L;<=0,1 µg/L;;17;17;17|28|31|51;
8742;Acide perfluoro tridecane sulfonique (PFTrDS);acide perfluoro tridecane sulfonique (pftrds);791563-89-8;µg/L;;;16;16;17|28|31|51;
6549;Acide perfluoro tridecanoique (PFTrDA);acide perfluoro tridecanoique (pftrda);72629-94-8;µg/L;;;16;16;17|28|31|51;
8740;Acide perfluoro undecane sulfonique (PFUnDS);acide perfluoro undecane sulfonique (pfunds);749786-16-1;µg/L;;;16;16;17|28|31|51;
6510;Acide perfluoro undecanoïque (PFUnA);acide perfluoro undecanoique (pfuna);2058-94-8;µg/L;;;16;16;17|28|31|51;
6509;Acide perfluoro-decanoïque (PFDA);acide perfluoro-decanoique (pfda);335-76-2;µg/L;;;16;16;17|28|31|51;
6508;Acide perfluoro-nonanoïque (PFNA);acide perfluoro-nonanoique (pfna);375-95-1;µg/L;;;16;16;17|28|31|51;
5347;Acide perfluoro-octanoïque (PFOA);acide perfluoro-octanoique (pfoa);335-67-1;µg/L;;;16;16;17|28|31|51;
5980;Acide perfluorobutanoïque (PFBA);acide perfluorobutanoique (pfba);375-22-4;µg/L;;;16;16;17|28|31|51;
6550;Acide perfluorodecane sulfonique (PFDS);acide perfluorodecane sulfonique (pfds);335-77-3;µg/L;;;16;16;17|28|31|51;
8741;Acide perfluorododécane sulfonique (PFDoDS);acide perfluorododecane sulfonique (pfdods);79780-39-5;µg/L;;;16;16;17|28|31|51;
6507;Acide perfluorododécanoique (PFDoDA);acide perfluorododecanoique (pfdoda);307-55-1;µg/L;;;16;16;17|28|31|51;
6542;Acide perfluoroheptane sulfonique (PFHpS);acide perfluoroheptane sulfonique (pfhps);375-92-8;µg/L;;;16;16;17|28|31|51;
5977;Acide perfluoroheptanoïque (PFHPA);acide perfluoroheptanoique (pfhpa);375-85-9;µg/L;;;16;16;17|28|31|51;
5978;Acide perfluorohexanoïque (PFHXA);acide perfluorohexanoique (pfhxa);307-24-4;µg/L;;;16;16;17|28|31|51;
8739;Acide perfluorononane sulfonique (PFNS);acide perfluorononane sulfonique (pfns);68259-12-1;µg/L;;;16;16;17|28|31|51;
8738;Acide perfluoropentane sulfonique (PFPS);acide perfluoropentane sulfonique (pfps);2706-91-4;µg/L;;;16;16;17|28|31|51;
5979;Acide perfluoropentanoïque (PFPEA);acide perfluoropentanoique (pfpea);2706-90-3;µg/L;;;16;16;17|28|31|51;
6025;Acide sulfonique de perfluorobutane (PFBS);acide sulfonique de perfluorobutane (pfbs);375-73-5;µg/L;;;16;16;17|28|31|51;
6561;Acide sulfonique de perfluorooctane (PFOS);acide sulfonique de perfluorooctane (pfos);1763-23-1;µg/L;;;16;16;17|28|31|51;
1128;Captane;captane;133-06-2;µg/L;<=0,1 µg/L;;16;16;17|28;
2018;Cloquintocet-mexyl;cloquintocet-mexyl;99607-70-2;µg/L;<=0,1 µg/L;;16;16;17|31;
5567;Cyazofamide;cyazofamide;120116-88-3;µg/L;<=0,1 µg/L;;16;16;17|28|51;
1172;Dicofol;dicofol;115-32-2;µg/L;<=0,1 µg/L;;16;16;17|31;
2009;Fipronil;fipronil;120068-37-3;µg/L;<=0,1 µg/L;;16;16;28|51;
2984;Fluazinam;fluazinam;79622-59-6;µg/L;<=0,1 µg/L;;16;16;17|51;
2985;Flutolanil;flutolanil;66332-96-5;µg/L;<=0,1 µg/L;;16;16;28|51;
6483;Iodosulfuron-methyl-sodium;iodosulfuron-methyl-sodium;144550-36-7;µg/L;<=0,1 µg/L;;16;16;31|51;
1206;Iprodione;iprodione;36734-19-7;µg/L;<=0,1 µg/L;;16;16;17|31;
6399;Mandipropamide;mandipropamide;374726-62-2;µg/L;<=0,1 µg/L;;16;16;17|28|51;
1969;Mepiquat;mepiquat;15302-91-7;µg/L;<=0,1 µg/L;;16;16;28|31|51;
6394;Penoxsulam;penoxsulam;219714-96-2;µg/L;<=0,1 µg/L;;16;16;28|51;
6830;Perfluorohexane sulfonate (PFHXS);perfluorohexane sulfonate (pfhxs);355-46-4;µg/L;;;16;16;17|28|31|51;
7519;Pethoxamide;pethoxamide;106700-29-2;µg/L;<=0,1 µg/L;;16;16;28|51;
1971;Phosmet;phosmet;732-11-6;µg/L;<=0,1 µg/L;;16;16;17|28;
8847;Somme de 20 substances perfluoroalkylées (PFAS);somme de 20 substances perfluoroalkylees (pfas);;µg/L;<=0,1 µg/L;;16;16;17|28|31|51;
7086;Tembotrione;tembotrione;335104-84-2;µg/L;<=0,1 µg/L;;16;16;17|51;
6484;Température de mesure du pH;temperature de mesure du ph;;°C;;;16;8;51;
1542;Thébuthiuron;thebuthiuron;34014-18-1;µg/L;<=0,1 µg/L;;16;16;28|51;
2096;Trinéxapac-éthyl;trinexapac-ethyl;95266-40-3;µg/L;<=0,1 µg/L;;16;16;17|51;
1036;Activité bêta attribuable au K40;activite beta attribuable au k40;;Bq/L;;;15;15;28|51;
1584;Biphényle;biphenyle;92-52-4;µg/L;<=0,1 µg/L;;15;15;28|51;
6381;CGA 354742;cga 354742;;µg/L;;;15;15;28|51;
1835;Dichloropropylène-1,3 trans;dichloropropylene-1,3 trans;10061-02-6;µg/L;<=0,1 µg/L;;15;15;17|28;
2933;Dodine;dodine;2439-10-3;µg/L;<=0,1 µg/L;;15;15;17|31;
5648;Ethylenethiouree;ethylenethiouree;96-45-7;µg/L;<=0,1 µg/L;;15;15;28|51;
1193;Fluvalinate-tau;fluvalinate-tau;102851-06-9;µg/L;<=0,1 µg/L;;15;15;17|51;
1192;Folpel;folpel;133-07-3;µg/L;<=0,1 µg/L;;15;15;17|28;
1717;Thiophanate méthyl;thiophanate methyl;23564-05-8;µg/L;<=0,1 µg/L;;15;15;17|31;
7716;2-Aminosulfonyl-N,N-dimethylnicotin;2-aminosulfonyl-n,n-dimethylnicotin;112006-75-4;µg/L;<=0,1 µg/L;;14;14;28|51;
7715;Chlorothalonil-4-hydroxy;chlorothalonil-4-hydroxy;28343-61-5;µg/L;<=0,1 µg/L;;14;14;28|51;
6865;Diméthénamide ESA;dimethenamide esa;205939-58-8;µg/L;;;14;14;28|51;
7735;Diméthénamide OXA;dimethenamide oxa;380412-59-9;µg/L;;;14;14;28|51;
1701;Fenvalérate;fenvalerate;51630-58-1;µg/L;<=0,1 µg/L;;14;14;17|28;
1970;Acifluorfen;acifluorfen;50594-66-6;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1104;Améthryne;amethryne;834-12-8;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1120;Bifenthrine;bifenthrine;82657-04-3;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1529;Bitertanol;bitertanol;55179-31-2;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1861;Bupirimate;bupirimate;41483-43-6;µg/L;<=0,1 µg/L;;10;10;17|28|51;
1126;Butraline;butraline;33629-47-9;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1863;Cadusafos;cadusafos;95465-99-9;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1463;Carbaryl;carbaryl;63-25-2;µg/L;<=0,1 µg/L;;10;10;28|31|51;
2975;Carboxine;carboxine;5234-68-4;µg/L;<=0,1 µg/L;;10;10;17|28|51;
7010;Chlordane alpha;chlordane alpha;5103-71-9;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1757;Chlordane béta;chlordane beta;5103-74-2;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1137;Cyanazine;cyanazine;21725-46-2;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1143;DDD-2,4';ddd-2,4';53-19-0;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1157;Diazinon;diazinon;333-41-5;µg/L;<=0,1 µg/L;;10;10;28|31|51;
2929;Dichlormide;dichlormide;37764-25-3;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1171;Diclofop méthyl;diclofop methyl;51338-27-3;µg/L;<=0,1 µg/L;;10;10;28|31|51;
5748;Dimoxystrobine;dimoxystrobine;149961-52-4;µg/L;<=0,1 µg/L;;10;10;17|28|51;
1871;Diniconazole;diniconazole;83657-24-3;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1181;Endrine;endrine;72-20-8;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1187;Fenitrothion;fenitrothion;122-14-5;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1967;Fenoxycarbe;fenoxycarbe;79127-80-3;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1188;Fenpropathrine;fenpropathrine;39515-41-8;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1190;Fenthion;fenthion;55-38-9;µg/L;<=0,1 µg/L;;10;10;28|31|51;
2056;Fluquinconazole;fluquinconazole;136426-54-5;µg/L;<=0,1 µg/L;;10;10;28|31|51;
2547;Fluroxypir-meptyl;fluroxypir-meptyl;81406-37-3;µg/L;<=0,1 µg/L;;10;10;28|31|51;
2057;Fénamidone;fenamidone;161326-34-7;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1973;Fénoxaprop-éthyl;fenoxaprop-ethyl;66441-23-4;µg/L;<=0,1 µg/L;;10;10;28|31|51;
2046;HCH epsilon;hch epsilon;6108-10-7;µg/L;<=0,1 µg/L;;10;10;17|28|51;
1405;Hexaconazole;hexaconazole;79983-71-4;µg/L;<=0,1 µg/L;;10;10;28|31|51;
5483;Indoxacarbe;indoxacarbe;173584-44-6;µg/L;<=0,1 µg/L;;10;10;17|28|51;
1942;Ioxynil octanoate;ioxynil octanoate;3861-47-0;µg/L;<=0,1 µg/L;;10;10;17|28|51;
1207;Isodrine;isodrine;465-73-6;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1210;Malathion;malathion;121-75-5;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1707;Molinate;molinate;2212-67-1;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1227;Monolinuron;monolinuron;1746-81-2;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1881;Myclobutanil;myclobutanil;88671-89-0;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1216;Métabenzthiazuron;metabenzthiazuron;18691-97-9;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1217;Méthidathion;methidathion;950-37-8;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1218;Méthomyl;methomyl;16752-77-5;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1222;Métoxuron;metoxuron;19937-59-8;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1230;Ométhoate;omethoate;1113-02-6;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1231;Oxydéméton méthyl;oxydemeton methyl;301-12-2;µg/L;<=0,1 µg/L;;10;10;28|31|51;
5806;Paraoxon;paraoxon;311-45-5;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1233;Parathion méthyl;parathion methyl;298-00-0;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1232;Parathion éthyl;parathion ethyl;56-38-2;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1762;Penconazole;penconazole;66246-88-6;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1664;Procymidone;procymidone;32809-16-8;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1712;Propachlore;propachlore;1918-16-7;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1255;Propargite;propargite;2312-35-8;µg/L;<=0,1 µg/L;;10;10;28|31|51;
6358;Pyridafol;pyridafol;40020-01-7;µg/L;<=0,1 µg/L;;10;10;17|28|51;
1663;Pyrifénox;pyrifenox;88283-41-4;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1892;Rimsulfuron;rimsulfuron;122931-48-0;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1923;Sébuthylazine;sebuthylazine;7286-69-3;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1267;Terbuphos;terbuphos;13071-79-9;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1346;Titre alcalimétrique;titre alcalimetrique;;°f;;;10;10;17|31|51;
1901;Triazamate;triazamate;112143-82-5;µg/L;<=0,1 µg/L;;10;10;28|31|51;
1290;Vamidothion;vamidothion;2275-23-2;µg/L;<=0,1 µg/L;;10;10;28|31|51;
2847;1-(4-isopropylphenyl)-urée;1-(4-isopropylphenyl)-uree;56046-17-4;µg/L;<=0,1 µg/L;;9;9;17|51;
1310;Acrinathrine;acrinathrine;101007-06-1;µg/L;<=0,1 µg/L;;9;9;17|28|51;
1100;Acéphate;acephate;30560-19-1;µg/L;<=0,1 µg/L;;9;9;28|51;
1376;Antimoine;antimoine;7440-36-0;µg/L;<=10 µg/L;;9;9;17|28|31|51;
1111;Azinphos méthyl;azinphos methyl;86-50-0;µg/L;<=0,1 µg/L;;9;9;28|51;
1112;Benfluraline;benfluraline;1861-40-1;µg/L;<=0,1 µg/L;;9;9;28|51;
7460;Benthiavalicarbe-isopropyl;benthiavalicarbe-isopropyl;177406-68-7;µg/L;<=0,1 µg/L;;9;9;17|28|51;
1115;Benzo(a)pyrène *;benzo(a)pyrene *;50-32-8;µg/L;<=0.01 µg/L;;9;9;17|28|31|51;
1116;Benzo(b)fluoranthène;benzo(b)fluoranthene;205-99-2;µg/L;<=0.1 µg/L;;9;9;17|28|31|51;
1118;Benzo(g,h,i)pérylène;benzo(g,h,i)perylene;191-24-2;µg/L;<=0.1 µg/L;;9;9;17|28|31|51;
1117;Benzo(k)fluoranthène;benzo(k)fluoranthene;207-08-9;µg/L;<=0.1 µg/L;;9;9;17|28|31|51;
2766;Bisphénol A;bisphenol a;80-05-7;µg/L;<=2,5 µg/L;;9;9;17|28|31|51;
1388;Cadmium;cadmium;7440-43-9;µg/L;<=5 µg/L;;9;9;17|28|31|51;
5723;Chlorthiophos;chlorthiophos;60238-56-4;µg/L;<=0,1 µg/L;;9;9;28|51;
1389;Chrome total;chrome total;7440-47-3;µg/L;<=50 µg/L;;9;9;17|28|31|51;
2095;Clodinafop-propargyl;clodinafop-propargyl;105512-06-9;µg/L;<=0,1 µg/L;;9;9;17|28|51;
1935;Cybutryne;cybutryne;28159-98-0;µg/L;<=0,1 µg/L;;9;9;17|51;
7748;Cyflufenamide;cyflufenamide;180409-60-3;µg/L;<=0,1 µg/L;;9;9;17|28|51;
1145;DDE-2,4';dde-2,4';3424-82-6;µg/L;<=0,1 µg/L;;9;9;31|51;
1870;Diméfuron;dimefuron;34205-21-5;µg/L;<=0,1 µg/L;;9;9;28|51;
1491;Dinoseb;dinoseb;88-85-7;µg/L;<=0,1 µg/L;;9;9;28|51;
1966;Dithianon;dithianon;3347-22-6;µg/L;<=0,1 µg/L;;9;9;31|51;
1182;EPTC;eptc;759-94-4;µg/L;<=0,1 µg/L;;9;9;28|51;
2020;Famoxadone;famoxadone;131807-57-3;µg/L;<=0,1 µg/L;;9;9;31|51;
6260;Fipronil sulfone;fipronil sulfone;120068-36-2;µg/L;<=0,1 µg/L;;9;9;28|51;
2023;Flumioxazine;flumioxazine;103361-09-7;µg/L;<=0,1 µg/L;;9;9;17|28|51;
1975;Fosetyl-aluminium;fosetyl-aluminium;39148-24-8;µg/L;<=0,1 µg/L;;9;9;28|31;
2047;Haloxyfop;haloxyfop;69806-34-4;µg/L;<=0,1 µg/L;;9;9;28|51;
2033;Hydrocarbures polycycliques aromatiques (4 substances);hydrocarbures polycycliques aromatiques (4 substances);;µg/L;<=0,1 µg/L;;9;9;17|28|31|51;
2090;Imazapyr;imazapyr;81334-34-1;µg/L;<=0,1 µg/L;;9;9;28|51;
1204;Indéno(1,2,3-cd)pyrène;indeno(1,2,3-cd)pyrene;193-39-5;µg/L;<=0.1 µg/L;;9;9;17|28|31|51;
2750;Mecoprop-1-octyl ester;mecoprop-1-octyl ester;161922-37-8;µg/L;<=0,1 µg/L;;9;9;31|51;
2930;Mefenpyr diethyl;mefenpyr diethyl;135590-91-9;µg/L;<=0,1 µg/L;;9;9;17|51;
5533;Mépanipyrim;mepanipyrim;110235-47-7;µg/L;<=0,1 µg/L;;9;9;28|51;
1520;Néburon;neburon;555-37-3;µg/L;<=0,1 µg/L;;9;9;28|51;
1522;Paraquat;paraquat;4685-14-7;µg/L;<=0,1 µg/L;;9;9;28|31;
1236;Phenmédiphame;phenmediphame;13684-63-4;µg/L;<=0,1 µg/L;;9;9;28|51;
1665;Phoxime;phoxime;14816-18-3;µg/L;<=0,1 µg/L;;9;9;31|51;
5968;Propazine 2-hydroxy;propazine 2-hydroxy;7374-53-0;µg/L;<=0,1 µg/L;;9;9;28|51;
1535;Propoxur;propoxur;114-26-1;µg/L;<=0,1 µg/L;;9;9;28|51;
1260;Pyrimiphos éthyl;pyrimiphos ethyl;23505-41-1;µg/L;<=0,1 µg/L;;9;9;28|51;
2070;Quizalofop éthyle;quizalofop ethyle;76578-14-8;µg/L;<=0,1 µg/L;;9;9;17|28|51;
1262;Secbuméton;secbumeton;26259-45-0;µg/L;<=0,1 µg/L;;9;9;28|51;
1714;Thiazfluron;thiazfluron;25366-23-8;µg/L;<=0,1 µg/L;;9;9;28|51;
1280;Triadimenol;triadimenol;55219-65-3;µg/L;<=0,1 µg/L;;9;9;28|51;
1287;Trichlorfon;trichlorfon;52-68-6;µg/L;<=0,1 µg/L;;9;9;31|51;
1361;Uranium en µg/l;uranium;7440-61-1;µg/L;<=30 µg/L;;9;9;17|28|31|51;
2932;2-ethyl-6-methylaniline;2-ethyl-6-methylaniline;24549-06-2;µg/L;<=0,1 µg/L;;8;8;17;
1586;3,4-dichloroaniline;3,4-dichloroaniline;95-76-1;µg/L;<=0,1 µg/L;;8;8;17;
7580;Aminopyralid;aminopyralid;150114-71-9;µg/L;<=0,1 µg/L;;8;8;17;
1965;Asulame;asulame;3337-71-1;µg/L;<=0,1 µg/L;;8;8;31;
2924;Benfuracarbe;benfuracarbe;82560-54-1;µg/L;<=0,1 µg/L;;8;8;31;
1735;Chlorite en  mg/L;chlorite;14998-27-7;mg/L;<=0,25 mg/L;;8;8;28|51;
5597;Daminozide;daminozide;1596-84-5;µg/L;<=0,1 µg/L;;8;8;51;
1360;Dichlofluanide;dichlofluanide;1085-98-9;µg/L;<=0,1 µg/L;;8;8;31;
1834;Dichloropropylène-1,3 cis;dichloropropylene-1,3 cis;10061-01-5;µg/L;<=0,1 µg/L;;8;8;17;
1487;Dichloropropylène-1,3 total;dichloropropylene-1,3 total;542-75-6;µg/L;<=0,1 µg/L;;8;8;17;
5619;Dinocap;dinocap;39300-45-3;µg/L;<=0,1 µg/L;;8;8;31;
5478;Diphenylamine;diphenylamine;122-39-4;µg/L;<=0,1 µg/L;;8;8;31;
5624;Etofenprox;etofenprox;80844-07-1;µg/L;<=0,1 µg/L;;8;8;28|51;
6863;Flufénacet OXA;flufenacet oxa;201668-31-7;µg/L;<=0,1 µg/L;;8;8;28|51;
1703;Formétanate;formetanate;22259-30-9;µg/L;<=0,1 µg/L;;8;8;31;
1652;Hexachlorobutadiène;hexachlorobutadiene;87-68-3;µg/L;;;8;8;17;
