code_insee;commune;dept;derniere_complete;age_mois;nb_parametres_complete;nb_controles_depuis;dernier_controle;nb_depassements;nb_abandonnes_24m;nb_jamais_recherches;abandonnes
02158;Chamouille;02;2024-01-29;31;376;19;2026-05-28;2;2;0;Chlorothalonil R471811 (25 mois) | Total des pesticides analysés (25 mois)
02061;Becquigny;02;2024-01-23;31;394;12;2026-02-02;1;0;0;
09085;Castillon-en-Couserans;09;2024-01-10;31;344;26;2026-03-02;1;0;0;
02160;Chaourse;02;2024-02-21;30;248;14;2026-02-25;5;2;2;Total des pesticides analysés (30 mois) | Atrazine déséthyl (30 mois)
02455;Malzy;02;2024-02-14;30;247;16;2026-02-23;5;0;0;
02403;Landifay-et-Bertaignemont;02;2024-02-05;30;248;13;2026-05-20;4;0;0;
02784;Petit-Verly;02;2024-02-05;30;247;10;2026-05-22;4;4;0;Chloridazone desphényl (27 mois) | Chloridazone méthyl desphényl (27 mois) | Chlorothalonil R471811 (27 mois) | Total des pesticides analysés (27 mois)
02362;Guivry;02;2024-02-02;30;247;15;2026-01-23;3;0;0;
02791;Veslud;02;2024-02-12;30;247;16;2026-02-11;3;0;0;
02390;Jeancourt;02;2024-03-29;29;247;17;2026-06-26;5;0;0;
07103;Saint-Julien-d'Intres;07;2024-03-12;29;285;72;2026-06-29;0;0;0;
26192;Montbrison-sur-Lez;26;2024-03-18;29;346;15;2026-03-26;0;0;0;
07128;Lalouvesc;07;2024-03-14;29;286;28;2026-06-08;0;0;0;
07218;Saint-Basile;07;2024-03-18;29;286;57;2026-04-24;0;0;0;
26348;Taulignan;26;2024-03-12;29;275;63;2026-05-21;0;0;0;
02407;Laniscourt;02;2024-04-15;28;247;5;2026-04-21;4;0;0;
02462;Mareuil-en-Dôle;02;2024-04-22;28;248;13;2026-04-29;3;0;0;
28005;Alluyes;28;2024-04-19;28;269;10;2026-01-06;2;1;1;Total des pesticides analysés (28 mois)
02032;Aubigny-aux-Kaisnes;02;2024-04-08;28;248;17;2026-04-30;2;0;0;
02054;Bazoches-et-Saint-Thibaut;02;2024-04-24;28;248;25;2026-04-02;2;0;0;
68290;Rustenhart;68;2024-04-02;28;260;15;2026-04-07;2;0;0;
04206;Sigonce;04;2024-04-03;28;255;18;2026-06-04;0;0;0;
01035;Belleydoux;01;2024-04-09;28;350;173;2026-06-25;0;0;0;
71063;Broye;71;2024-04-10;28;465;14;2025-06-11;0;0;0;
68176;Largitzen;68;2024-04-15;28;260;28;2026-06-02;1;0;0;
67470;Solbach;67;2024-04-10;28;270;14;2026-05-21;0;0;0;
07326;Usclades-et-Rieutord;07;2024-05-27;27;286;27;2026-05-28;0;0;0;
04237;Le Vernet;04;2024-05-15;27;255;66;2026-06-16;0;0;0;
07280;Saint-Paul-le-Jeune;07;2024-05-16;27;383;46;2026-06-26;1;0;0;
42014;Belleroche;42;2024-06-03;26;283;13;2026-05-21;0;0;0;
82060;Fauroux;82;2024-06-10;26;343;7;2026-02-09;1;0;0;
31221;Gouaux-de-Larboust;31;2024-06-20;26;343;27;2026-05-27;0;0;0;
